mood,sleep,food,stress,sessionID,userID,real_stress,user_sessionID
0.85,0.69,0.36,0.68,1,3051,0.31999999999999995,3051_1
0.69,0.15,0.37,0.58,1,3053,0.42000000000000004,3053_1
0.84,0.67,0.86,0.36,1,3054,0.64,3054_1
0.83,0.29,0.35,0.71,1,3055,0.29000000000000004,3055_1
0.71,0.75,0.95,0.71,1,3056,0.29000000000000004,3056_1
0.79,0.79,0.88,0.35,1,3057,0.65,3057_1
0.54,0.78,0.77,0.62,1,3058,0.38,3058_1
0.85,0.86,0.86,0.2,1,3059,0.8,3059_1
0.62,0.82,0.82,0.34,1,3060,0.6599999999999999,3060_1
0.62,0.64,0.66,0.59,1,3061,0.41000000000000003,3061_1
0.85,0.81,0.95,0.84,1,3062,0.16000000000000003,3062_1
0.73,0.62,0.7,0.63,1,3063,0.37,3063_1
0.39,0.38,0.49,0.44,1,3064,0.56,3064_1
0.64,0.91,0.51,0.42,1,3065,0.5800000000000001,3065_1
1.0,0.83,0.9,0.26,1,3066,0.74,3066_1
0.74,0.68,0.63,0.73,1,3067,0.27,3067_1
0.6,0.6,0.62,0.66,1,3068,0.33999999999999997,3068_1
0.28,0.34,0.79,0.59,1,3069,0.41000000000000003,3069_1
0.54,0.47,0.44,0.88,1,3070,0.12,3070_1
0.92,1.0,0.93,0.97,1,3071,0.030000000000000027,3071_1
0.46,0.15,0.52,0.4,1,3072,0.6,3072_1
0.48,0.21,0.51,0.21,1,3073,0.79,3073_1
0.67,0.4,0.79,0.46,1,3074,0.54,3074_1
0.87,0.76,0.63,0.81,1,3075,0.18999999999999995,3075_1
1.0,0.36,0.93,0.79,1,3076,0.20999999999999996,3076_1
0.33,0.32,0.36,0.12,1,3077,0.88,3077_1
0.15,0.71,1.0,0.24,1,3078,0.76,3078_1
0.88,,0.76,0.85,2,3051,0.15000000000000002,3051_2
0.8,,0.63,0.42,2,3053,0.5800000000000001,3053_2
0.88,,0.69,0.69,2,3054,0.31000000000000005,3054_2
0.73,,0.74,0.77,2,3055,0.22999999999999998,3055_2
0.22,,0.79,0.15,2,3056,0.85,3056_2
0.36,,0.78,0.18,2,3057,0.8200000000000001,3057_2
0.55,,0.88,0.62,2,3058,0.38,3058_2
0.92,,0.92,0.16,2,3059,0.84,3059_2
0.68,,0.37,0.37,2,3060,0.63,3060_2
