perf,type,difficulty,sessionID_x,userID
90.0,NO,1,1,991
90.0,NO,2,1,991
35.0,NO,3,1,991
100.0,DO,1,1,991
85.71428571428571,DO,2,1,991
40.0,DO,3,1,991
100.0,SO,1,1,991
71.42857142857143,SO,2,1,991
16.666666666666668,SO,3,1,991
95.0,NO,1,2,991
80.0,NO,2,2,991
50.0,NO,3,2,991
100.0,DO,1,2,991
90.0,DO,2,2,991
87.5,DO,3,2,991
93.75,SO,1,2,991
100.0,SO,2,2,991
100.0,SO,3,2,991
90.0,NO,1,3,991
85.0,NO,2,3,991
50.0,NO,3,3,991
100.0,DO,1,3,991
100.0,DO,2,3,991
16.666666666666668,DO,3,3,991
100.0,SO,1,3,991
100.0,SO,2,3,991
,SO,3,3,991
80.0,NO,1,4,991
40.0,NO,2,4,991
35.0,NO,3,4,991
62.5,DO,1,4,991
37.5,DO,2,4,991
50.0,DO,3,4,991
90.9090909090909,SO,1,4,991
40.0,SO,2,4,991
33.333333333333336,SO,3,4,991
70.0,NO,1,5,991
50.0,NO,2,5,991
70.0,NO,3,5,991
100.0,DO,1,5,991
71.42857142857143,DO,2,5,991
40.0,DO,3,5,991
100.0,SO,1,5,991
22.22222222222222,SO,2,5,991
0.0,SO,3,5,991
70.0,NO,1,6,991
60.0,NO,2,6,991
65.0,NO,3,6,991
86.66666666666667,DO,1,6,991
20.0,DO,2,6,991
50.0,DO,3,6,991
85.71428571428571,SO,1,6,991
62.5,SO,2,6,991
100.0,SO,3,6,991
75.0,NO,1,7,991
40.0,NO,2,7,991
50.0,NO,3,7,991
100.0,DO,1,7,991
33.333333333333336,DO,2,7,991
88.88888888888889,DO,3,7,991
100.0,SO,1,7,991
37.5,SO,2,7,991
80.0,SO,3,7,991
80.0,NO,1,8,991
40.0,NO,2,8,991
55.0,NO,3,8,991
55.55555555555556,DO,1,8,991
25.0,DO,2,8,991
62.5,DO,3,8,991
100.0,SO,1,8,991
60.0,SO,2,8,991
88.88888888888889,SO,3,8,991
70.0,NO,1,9,991
55.0,NO,2,9,991
40.0,NO,3,9,991
100.0,DO,1,9,991
23.076923076923077,DO,2,9,991
50.0,DO,3,9,991
64.28571428571429,SO,1,9,991
46.15384615384615,SO,2,9,991
16.666666666666668,SO,3,9,991
95.0,NO,1,10,991
65.0,NO,2,10,991
45.0,NO,3,10,991
100.0,DO,1,10,991
43.75,DO,2,10,991
25.0,DO,3,10,991
100.0,SO,1,10,991
57.142857142857146,SO,2,10,991
37.5,SO,3,10,991
95.0,NO,1,11,991
60.0,NO,2,11,991
40.0,NO,3,11,991
92.3076923076923,DO,1,11,991
66.66666666666667,DO,2,11,991
18.181818181818183,DO,3,11,991
100.0,SO,1,11,991
41.666666666666664,SO,2,11,991
0.0,SO,3,11,991
95.0,NO,1,12,991
80.0,NO,2,12,991
70.0,NO,3,12,991
88.88888888888889,DO,1,12,991
91.66666666666667,DO,2,12,991
100.0,DO,3,12,991
100.0,SO,1,12,991
87.5,SO,2,12,991
66.66666666666667,SO,3,12,991
85.0,NO,1,13,991
60.0,NO,2,13,991
30.0,NO,3,13,991
100.0,DO,1,13,991
16.666666666666668,DO,2,13,991
16.666666666666668,DO,3,13,991
100.0,SO,1,13,991
57.142857142857146,SO,2,13,991
37.5,SO,3,13,991
80.0,NO,1,14,991
85.0,NO,2,14,991
75.0,NO,3,14,991
93.75,DO,1,14,991
100.0,DO,2,14,991
75.0,DO,3,14,991
100.0,SO,1,14,991
92.3076923076923,SO,2,14,991
75.0,SO,3,14,991
95.0,NO,1,15,991
40.0,NO,2,15,991
90.0,NO,3,15,991
92.3076923076923,DO,1,15,991
50.0,DO,2,15,991
0.0,DO,3,15,991
92.85714285714286,SO,1,15,991
28.571428571428573,SO,2,15,991
90.0,SO,3,15,991
85.0,NO,1,16,991
70.0,NO,2,16,991
45.0,NO,3,16,991
100.0,DO,1,16,991
100.0,DO,2,16,991
50.0,DO,3,16,991
100.0,SO,1,16,991
92.3076923076923,SO,2,16,991
16.666666666666668,SO,3,16,991
85.0,NO,1,17,991
60.0,NO,2,17,991
