mood,sleep,food,stress,sessionID,userID,real_stress,user_sessionID
0.52,0.33,0.51,0.63,1,991,0.37,991_1
1.0,0.73,0.5,0.31,1,992,0.69,992_1
0.62,0.63,0.85,0.26,1,993,0.74,993_1
1.0,0.72,0.53,0.36,1,994,0.64,994_1
0.66,0.28,0.08,1.0,1,995,0.0,995_1
0.84,0.96,0.96,0.68,1,996,0.31999999999999995,996_1
0.25,0.39,0.39,0.24,1,997,0.76,997_1
0.74,0.63,0.56,0.16,1,998,0.84,998_1
0.39,0.38,0.56,0.32,1,999,0.6799999999999999,999_1
0.73,0.86,0.98,0.71,1,1000,0.29000000000000004,1000_1
0.72,0.72,0.43,0.39,1,1001,0.61,1001_1
0.77,0.22,1.0,0.15,1,1002,0.85,1002_1
0.68,0.36,0.64,0.57,1,1003,0.43000000000000005,1003_1
1.0,1.0,1.0,0.72,1,1005,0.28,1005_1
0.19,0.0,0.49,0.28,1,1006,0.72,1006_1
0.71,0.59,0.66,0.55,1,1007,0.44999999999999996,1007_1
0.52,0.18,0.72,0.4,1,1008,0.6,1008_1
0.6,0.36,0.85,0.5,1,1009,0.5,1009_1
1.0,0.92,1.0,1.0,1,1010,0.0,1010_1
0.7,0.34,0.63,0.53,1,1011,0.47,1011_1
0.55,0.57,0.58,0.56,1,1012,0.43999999999999995,1012_1
0.4,0.54,0.41,0.23,1,1013,0.77,1013_1
0.77,0.72,0.74,0.21,1,1014,0.79,1014_1
0.36,,0.44,0.25,2,991,0.75,991_2
0.83,,1.0,0.45,2,992,0.55,992_2
0.66,,0.76,0.31,2,993,0.69,993_2
1.0,,0.59,0.73,2,994,0.27,994_2
0.49,,0.06,1.0,2,995,0.0,995_2
0.91,,0.81,0.81,2,996,0.18999999999999995,996_2
0.2,,0.19,0.0,2,997,1.0,997_2
0.7,,0.78,0.15,2,998,0.85,998_2
0.43,,0.64,0.33,2,999,0.6699999999999999,999_2
0.71,,0.55,0.63,2,1000,0.37,1000_2
0.56,,0.67,0.34,2,1001,0.6599999999999999,1001_2
0.22,,0.63,0.2,2,1002,0.8,1002_2
0.69,,0.87,0.58,2,1003,0.42000000000000004,1003_2
0.73,,0.8,0.59,2,1005,0.41000000000000003,1005_2
0.69,,0.69,0.69,2,1006,0.31000000000000005,1006_2
0.44,,0.64,0.32,2,1007,0.6799999999999999,1007_2
0.79,,0.14,0.56,2,1008,0.43999999999999995,1008_2
0.47,,0.54,0.24,2,1009,0.76,1009_2
1.0,,1.0,1.0,2,1010,0.0,1010_2
0.69,,0.7,0.57,2,1011,0.43000000000000005,1011_2
0.6,,0.4,0.4,2,1012,0.6,1012_2
0.42,,0.52,0.21,2,1013,0.79,1013_2
0.79,,1.0,0.26,2,1014,0.74,1014_2
0.59,0.44,0.72,0.59,3,991,0.41000000000000003,991_3
0.81,0.94,0.82,0.5,3,992,0.5,992_3
0.79,0.74,0.81,0.47,3,993,0.53,993_3
0.35,0.25,0.74,0.73,3,994,0.27,994_3
0.33,0.08,0.41,0.43,3,995,0.5700000000000001,995_3
0.74,0.85,0.88,0.65,3,996,0.35,996_3
0.0,0.24,0.0,0.0,3,997,1.0,997_3
0.57,0.57,0.7,0.16,3,998,0.84,998_3
0.43,0.38,0.59,0.34,3,999,0.6599999999999999,999_3
0.39,0.57,0.37,0.62,3,1000,0.38,1000_3
0.68,0.63,0.7,0.46,3,1001,0.54,1001_3
0.23,0.0,0.6,0.18,3,1002,0.8200000000000001,1002_3
0.59,0.64,0.42,0.72,3,1003,0.28,1003_3
1.0,1.0,0.83,0.87,3,1005,0.13,1005_3
0.54,0.89,0.69,0.49,3,1006,0.51,1006_3
0.61,0.64,0.64,0.62,3,1007,0.38,1007_3
0.61,0.58,0.56,0.53,3,1008,0.47,1008_3
0.5,0.56,0.6,0.84,3,1009,0.16000000000000003,1009_3
1.0,1.0,1.0,1.0,3,1010,0.0,1010_3
0.58,0.68,0.87,0.51,3,1011,0.49,1011_3
0.58,0.45,0.43,0.42,3,1012,0.5800000000000001,1012_3
0.54,0.23,0.63,0.36,3,1013,0.64,1013_3
0.72,0.75,1.0,0.49,3,1014,0.51,1014_3
0.75,,0.74,0.73,4,991,0.27,991_4
0.92,,0.82,0.33,4,992,0.6699999999999999,992_4
0.61,,0.58,0.58,4,993,0.42000000000000004,993_4
0.29,,0.65,0.15,4,994,0.85,994_4
0.55,,0.1,0.46,4,995,0.54,995_4
0.71,,0.88,0.81,4,996,0.18999999999999995,996_4
0.0,,0.67,0.0,4,997,1.0,997_4
0.48,,0.55,0.12,4,998,0.88,998_4
0.43,,0.64,0.4,4,999,0.6,999_4
0.66,,0.56,0.61,4,1000,0.39,1000_4
0.67,,0.66,0.3,4,1001,0.7,1001_4
0.61,,0.63,0.39,4,1002,0.61,1002_4
0.56,,0.66,0.41,4,1003,0.5900000000000001,1003_4
0.8,,0.79,0.8,4,1005,0.19999999999999996,1005_4
0.57,,0.28,0.92,4,1006,0.07999999999999996,1006_4
0.61,,0.57,0.45,4,1007,0.55,1007_4
0.63,,0.66,0.56,4,1008,0.43999999999999995,1008_4
1.0,,0.69,1.0,4,1009,0.0,1009_4
1.0,,0.94,1.0,4,1010,0.0,1010_4
0.58,,0.67,0.74,4,1011,0.26,1011_4
0.77,,0.62,0.79,4,1012,0.20999999999999996,1012_4
0.66,,0.64,0.61,4,1013,0.39,1013_4
1.0,,0.81,0.64,4,1014,0.36,1014_4
0.61,0.71,0.63,0.7,5,991,0.30000000000000004,991_5
0.98,0.91,0.68,0.86,5,992,0.14,992_5
0.41,0.32,0.4,0.4,5,993,0.6,993_5
0.35,0.17,0.61,0.22,5,994,0.78,994_5
0.53,0.53,0.44,0.56,5,995,0.43999999999999995,995_5
0.73,0.75,0.61,0.97,5,996,0.030000000000000027,996_5
